,0
936,277.8150968608882
937,261.8100349126642
938,273.94874504534437
939,283.81975520934253
940,256.27801471678066
941,276.3112618515885
942,271.1572815281777
943,200.37097349483884
944,279.70338083803017
945,243.46799223943896
946,263.28578139065553
947,204.04578570057788
948,261.61077102922184
949,23.03668362417092
950,235.0399305640504
951,270.4809085269844
952,253.69702409842645
953,288.56394499282555
954,258.35589154724187
955,224.44094323440268
956,254.47380212023168
957,301.59096894376614
958,239.8797685705041
959,242.18593804113416
960,259.04189387358906
961,242.43639392849144
962,18.828272471542505
963,219.67518248359607
964,254.02742357164644
965,2.7490838283237053
966,1.9003551123316242
967,245.5922878740351
968,1.9093505076354376
969,271.0967806356664
970,245.56651757827177
971,233.33494861817937
972,298.62032297591406
973,291.90210255135435
974,235.86047918007898
975,208.01984546012153
976,258.19129266054676
977,250.25377711452478
978,266.61715049566334
979,284.1760062247785
980,251.65639331470018
981,263.00620538630506
982,284.25670191843165
983,-129.74770088249184
984,273.9301264367671
985,2.956934404675181
986,263.56530299236226
987,285.7092849554908
988,259.8201326416803
989,236.28419904757985
990,279.42321368021055
991,268.7279823192596
992,248.93600268412038
993,218.16980508820552
994,18.497049858656354
995,283.5735062717996
996,271.63749306151226
997,268.7338399600309
998,311.3286538020236
999,269.3572025933737
1000,229.06369566029255
1001,247.55666721166145
1002,-22.814180425661192
1003,270.4107047158085
1004,223.86417290049894
1005,-1.7276940886084446
1006,18.654348681770387
1007,-16.951911284633553
1008,298.0329835125435
1009,310.92308744215165
1010,266.81429461419276
1011,1.3357652550448762
1012,271.1524437084629
1013,275.38545833963616
1014,-10.859785090495976
1015,1.9912348731780867
1016,-1.3634622008303836
1017,11.867544626174919
1018,-26.974802600438196
1019,293.52623946230676
1020,292.6442274434861
1021,253.96787584222955
1022,234.53563977948542
1023,48.36440807292615
1024,-44.52771401932421
1025,275.69966339910695
1026,299.19546218637686
1027,39.857436600863224
1028,262.7181740117426
1029,256.59571001756876
1030,-7.090011303129245
1031,312.7410325369219
1032,220.0889991321796
1033,154.57772045445276
1034,33.625674078097006
1035,42.83308081706812
1036,25.86250967377802
1037,-7.909540708423563
1038,57.497576058827434
1039,283.0957276755729
1040,-12.570650839406895
1041,257.76372801669703
1042,278.3794378600355
1043,244.38449790742618
1044,-37.21592445553635
1045,-44.33031948048658
1046,5.403740813174991
1047,278.1948251806268
1048,21.92298017351328
1049,200.5658148252964
1050,5.259943357049565
1051,234.11552395682824
1052,-31.421461569778458
1053,228.80404083917847
1054,249.66126797741657
1055,-71.8668800120543
1056,-17.53553044028166
1057,30.64540309161174
1058,-52.46772501783517
1059,-57.20842524005672
1060,-44.8204293394601
1061,252.81469098670559
1062,-13.131826367442926
1063,3.934429505352142
1064,-27.99497739429158
1065,275.8298871777247
1066,-30.277832197481814
1067,-28.90476436133892
1068,-19.398989759283168
1069,-29.74179881712317
1070,17.161147423408238
1071,-45.06751612721429
1072,-62.00881656223241
1073,-56.58123078386063
1074,-0.5941763586047699
1075,243.87902802633977
1076,-10.303538926427976
1077,-87.5276721523653
1078,-57.58243620463877
1079,219.52136442117015
1080,-48.824926753434426
1081,3.3244147418666046
1082,-32.79353568142326
1083,-35.8781913463837
1084,-200.38505728315118
1085,255.80934136980886
1086,-22.7880465745867
1087,-88.87946197897114
1088,224.7230433991426
1089,259.84533224032737
1090,232.22460776377557
1091,231.84243185213143
1092,26.096318174281535
1093,229.0559531595231
1094,-18.523949150978126
1095,-205.04160979940715
1096,105.26913343754485
1097,232.23536218371484
1098,-0.9505397340853108
1099,45.33364357862155
1100,256.1680745215623
1101,269.6832584261874
1102,273.8225370241494
1103,-44.45443820787728
1104,-88.70883310501621
1105,222.4678742546808
1106,19.22197832104513
1107,-6.0349571228196055
1108,280.1208205571932
1109,-21.374893597908
1110,242.91149103771235
1111,21.745327932862253
1112,246.32185549854347
1113,5.629024049591322
1114,226.63434907335719
1115,281.98683219464715
1116,209.5160430641451
1117,281.98120480723924
1118,157.78874601398775
1119,209.75560556174702
1120,283.53625943652855
1121,245.5066925314815
1122,-318.9766576444455
1123,-137.35267171341073
1124,-163.5784045275861
1125,17.36650980998448
1126,-159.7399979377898
1127,1.7037653139306173
1128,243.47492904683176
1129,311.427689783035
1130,270.14378934593515
1131,33.47524868792769
1132,281.69039799964077
1133,286.074356885022
1134,304.98385689146755
1135,-37.102206282158974
1136,261.46068502609506
1137,292.4484057622225
1138,266.00394968658344
1139,266.6875435800347
1140,294.829233142008
1141,-310.8069943258976
1142,257.2926755012279
1143,287.56858074884
1144,-33.40526359788555
1145,278.11128915534084
1146,284.30953106934453
1147,270.66730282492904
1148,275.3520779623386
1149,-8.853345223870633
1150,0.33736034492442
1151,41.9079332738292
1152,268.95928057223944
1153,277.39255298625284
1154,283.3554273595771
1155,239.62478544841704
1156,-28.884342477653682
1157,182.5941492175346
1158,280.46790481231994
1159,212.04779308117773
1160,20.51604978567579
1161,257.48749373388887
1162,293.9926495481751
1163,290.9086399062092
1164,289.10608529024694
1165,-102.58192997422343
1166,263.9950266776078
1167,288.9082178199212
1168,279.3199803589032
1169,253.46378709090624
1170,262.002323823742
1171,277.75967558663626
1172,235.90476618575994
1173,313.6120128942415
1174,243.13234888074373
1175,218.8331784638933
1176,274.2811351600183
1177,273.4887160266475
1178,-260.80601911149313
1179,263.71882838171405
1180,291.44564817171306
1181,237.15808025982972
1182,240.93024691765368
1183,289.4100358726188
1184,290.88945162275274
1185,274.9647165388876
1186,12.738847297038191
1187,243.12152913323
1188,256.628805047701
1189,174.78146467094797
1190,293.42401381944694
1191,238.88008357829722
1192,231.6560997971638
1193,248.70221325641373
1194,276.94585492082876
1195,295.65642284725544
1196,304.7112384088705
1197,1.6423811628958873
1198,286.14368446877666
1199,179.00799059886924
1200,160.87642227187217
1201,4.042565545574419
1202,282.1446842503633
1203,249.3767869515741
1204,134.1091920217867
1205,221.96740992132436
1206,273.60732698418843
1207,250.90039322011475
1208,213.34154603773345
1209,281.63776239319094
1210,275.4324417653549
1211,86.9602090734398
1212,254.3903322342696
1213,181.15955996065944
1214,-180.526638244666
1215,160.68550909285364
1216,251.26799121979377
1217,264.2200083892131
1218,264.6500427819808
1219,260.9996781460344
1220,287.2451097644082
1221,280.4715387887122
1222,273.35295084199623
1223,265.7016280353191
1224,56.84686291532799
1225,278.8814053102402
1226,303.8457396129801
1227,259.4720523415617
1228,220.5907737371433
1229,229.17710877395223
1230,293.87935067380727
1231,219.91142485742603
1232,259.12161267235274
1233,256.30217767236957
1234,249.4600982347885
1235,279.26836210067927
1236,268.99730735500174
1237,270.73215943361663
1238,274.7323511566444
1239,260.6958917236271
1240,5.747691591493947
1241,292.74457785721506
1242,28.80554065448888
1243,10.29141662119605
1244,8.091916136945997
1245,276.28475151490477
1246,240.832285039689
1247,295.49349548356224
1248,282.40994834774415
1249,-76.51804245860073
1250,303.9539823801464
1251,250.0086690370209
1252,250.30482038208106
1253,281.63466591752956
1254,278.0395601135764
1255,260.00148703980466
1256,277.4365940342799
1257,248.28907045392592
1258,255.4690424670756
1259,266.251756170376
1260,283.10102539114143
1261,292.67936951541486
1262,247.51783777666637
1263,252.76238910045228
1264,264.470186031293
1265,261.31691108332757
1266,265.29606400066194
1267,300.2435248344134
1268,234.5392005517393
1269,239.06142643254333
1270,278.7635627586749
1271,273.4381404004958
1272,230.69083190523702
1273,260.729816612327
1274,275.46993272486293
1275,-328.8949853838464
1276,283.7321917795531
1277,261.93349553059556
1278,245.0413181547113
1279,40.553247771066964
1280,277.2612182231187
1281,253.91493004086968
1282,-162.64280141063384
1283,258.3479542453612
1284,265.4927603536113
1285,267.503264341257
1286,289.15942677732266
1287,224.18291967890335
1288,261.1016582077401
1289,20.31465350678684
1290,-43.88273000651974
1291,223.09726854395777
1292,297.29568976028406
1293,10.453353788622849
1294,14.166425318545834
1295,19.106565966570415
1296,230.18519278143202
1297,263.6944474966845
1298,248.67993811128724
1299,270.4379991189073
1300,-20.08530845179434
1301,17.664129222964917
1302,-60.928094562345265
1303,242.80664363561263
